the_geom,BIN,CNSTRCT_YR,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
"MULTIPOLYGON (((-74.14983332006722 40.550119751086214, -74.14990879125119 40.55009451976451, -74.14991057259786 40.55009762155796, -74.14996373246953 40.55007984957713, -74.14997062318727 40.55009184371156, -74.15000441272116 40.550080547486374, -74.15002937530276 40.55012399235179, -74.14993903426533 40.55015419517024, -74.1499484565565 40.55017059318282, -74.1498325517205 40.55020934198208, -74.14979127628429 40.550137504004816, -74.14983510259165 40.55012285287928, -74.14983332006722 40.550119751086214)))",5065718,1899,,08/22/2017 12:00:00 AM +0000,Constructed,290792,28.68,2100,73,1588.77878693434,184.77834404288,5051430040,5051430040,Photogramm
"MULTIPOLYGON (((-74.14223603166057 40.61012130867122, -74.14235299938412 40.61011512496347, -74.14235573876758 40.61014522423868, -74.14235931425591 40.61018451411183, -74.142242347591 40.610190696923965, -74.1422414703912 40.610181066020345, -74.14223603166057 40.61012130867122)))",5018916,1955,,08/22/2017 12:00:00 AM +0000,Constructed,335375,25.4,2100,90,824.96127514707,115.79070600295,5007470020,5007470020,Photogramm
"MULTIPOLYGON (((-73.96425191767109 40.75860443341254, -73.96420786959342 40.758665405530365, -73.96419445498398 40.75868397427549, -73.96412254753994 40.75865393807455, -73.96386581932533 40.75854669954895, -73.96395149343766 40.758428109178375, -73.96402860779857 40.758466792861086, -73.96402586182576 40.75847059393547, -73.96417057189117 40.75853671808635, -73.96416745615988 40.75854103143635, -73.9642675235684 40.758582830638666, -73.96425191767109 40.75860443341254)))",1039988,1931,,08/22/2017 12:00:00 AM +0000,Constructed,66240,167.21446831,2100,52,4652.20272097352,302.5855511998,1013490035,1013490035,Photogramm
"MULTIPOLYGON (((-73.99278406777867 40.62181080531143, -73.99269361520643 40.62189694967213, -73.99263753276408 40.62186276054327, -73.99272798536246 40.62177661532588, -73.99278406777867 40.62181080531143)))",3133065,1935,,08/22/2017 12:00:00 AM +0000,Constructed,700551,24.57,2100,46,801.40079015528,120.26426498189,3055380061,3055380061,Photogramm
"MULTIPOLYGON (((-73.98110999982235 40.59728351567451, -73.98108181077795 40.59728676552588, -73.98104812451155 40.59729065023278, -73.98104088349383 40.5972914847233, -73.9810297671077 40.59723546498409, -73.98103739799285 40.59723458553248, -73.98106929317704 40.597230907653824, -73.98110607240663 40.59722666684239, -73.98111718885531 40.597282686574246, -73.98110999982235 40.59728351567451)))",3370799,1930,,08/17/2017 12:00:00 AM +0000,Constructed,886316,7.3,5110,20,442.38289161092,84.14649636391,3070960064,3070960064,Photogramm
"MULTIPOLYGON (((-73.94838514611071 40.723972475197286, -73.94844120270442 40.723953517574785, -73.94846551095984 40.72399511218012, -73.94840945670255 40.72401407341743, -73.94838514611071 40.723972475197286)))",3415422,1910,,08/17/2017 12:00:00 AM +0000,Constructed,1223841,10.11764837,5110,19,282.01220649529,67.17808984853,3026820056,3026820056,Photogramm
"MULTIPOLYGON (((-74.02869399016774 40.62729492836547, -74.02871342720726 40.62724602438642, -74.02873493332415 40.62725098628064, -74.02876678588173 40.62725833466162, -74.02874734887772 40.62730723864966, -74.02869727743526 40.627295686683226, -74.02869399016774 40.62729492836547)))",3362154,1910,,08/17/2017 12:00:00 AM +0000,Constructed,906213,9.01,5110,77,288.09373687387,68.18330500862,3059880073,3059880073,Photogramm
"MULTIPOLYGON (((-73.84690652855292 40.65831611239921, -73.84703067602865 40.65829696235639, -73.84705981771145 40.65840652931499, -73.84693567004018 40.65842567938904, -73.84690652855292 40.65831611239921)))",4292901,1950,,08/22/2017 12:00:00 AM +0000,Constructed,724464,25.4585,2100,9,1431.40702995452,151.74730856052,4139840033,4139840033,Photogramm
"MULTIPOLYGON (((-73.84076445085338 40.67630192085611, -73.84075147720446 40.67627646331636, -73.84073066657272 40.6762826102509, -73.84065322052746 40.67613062645037, -73.84072957177972 40.67610807337802, -73.84081999163757 40.67628551556159, -73.84076445085338 40.67630192085611)))",4247966,1920,,08/22/2017 12:00:00 AM +0000,Constructed,326872,23.77,2100,36,1513.60563103269,184.11636265989,4114890030,4114890030,Photogramm
"MULTIPOLYGON (((-74.16311863107187 40.549332300635015, -74.16330240920877 40.54930791249517, -74.16332041789344 40.54938687399244, -74.16313663954594 40.54941126216094, -74.16311863107187 40.549332300635015)))",5072395,1975,,08/22/2017 12:00:00 AM +0000,Constructed,523797,23.56,2100,46,1513.72332746396,162.08020376197,5054850006,5054850006,Photogramm
"MULTIPOLYGON (((-73.80110360258793 40.73731707808142, -73.80110558311453 40.73726357320317, -73.80111948809872 40.73726387097242, -73.80117393606979 40.73726503659592, -73.801174318521 40.73725470210398, -73.80121597428085 40.737255593478565, -73.80126054930389 40.737256548409135, -73.80125931964655 40.73728975619193, -73.80130275705808 40.73729068572964, -73.80130162389489 40.73732131732034, -73.80126423098221 40.73732051708074, -73.80116650890224 40.73731842491075, -73.80110360258793 40.73731707808142)))",4148906,1920,,08/22/2017 12:00:00 AM +0000,Constructed,676273,20.97,2100,74,1060.24122854629,156.33283979862,4068950055,4068950055,Photogramm
